TRACER MASS (Kg),WIDTH (m),DEPTH (m),AREA (m^2),VELOCITY (m/s),DISTANCE (m),DISCHARGE (m3/s)
13.66083026,209.3976,1.31064,274.4447523,0.512064,8046.7,139.601824
13.66083026,161.544,3.9624,640.10167,0.286512,159324.66,184.908704
18.1831425,152.4,3.6576,557.418,0.451104,159324.66,251.736352
18.1831425,132.588,2.46888,327.3437205,0.332232,12070.05,107.60384
18.1831425,268.224,1.00584,269.790312,0.612648,199558.16,166.502784
4.617112968,90.5256,2.16408,195.9045561,0.649224,17219.938,127.4256
4.617112968,116.4336,1.95072,227.1292544,0.576072,79823.264,110.718688
22.75262831,152.4,2.25552,343.7411,0.981456,17219.938,311.4848
22.75262831,154.8384,2.286,353.96043,1.014984,79823.264,359.62336
22.75262831,161.544,2.31648,374.213284,1.0668,135345.494,399.26688
22.75262831,164.592,2.34696,386.290674,1.085088,165440.152,419.08864
2.26796,5.88264,0.454152,2.671611571,0.222504,22208.892,0.7362368
2.26796,21.6408,0.795528,17.21585493,0.079248,54234.758,1.3308896
2.26796,6.7056,0.384048,2.57527116,0.210312,68879.752,0.4813856
9.07184,17.3736,1.23444,21.44665755,0.042672,17059.004,1.0194048
9.07184,12.192,0.509016,6.2059204,0.2286,37175.754,1.41584
9.07184,13.4112,0.347472,4.66001448,0.566928,72581.234,2.548512
9.07184,16.4592,1.033272,17.00682318,0.362712,121022.368,6.9092992
9.07184,32.004,1.43256,45.8476305,0.134112,21082.354,6.1730624
9.07184,21.336,0.926592,19.7697584,0.356616,55361.296,7.0792
9.07184,46.0248,1.834896,84.45068506,0.097536,93502.654,6.229696
9.07184,36.576,0.969264,35.4517848,0.268224,113458.47,9.4578112
90.7184,468.1728,5.334,2497.23264,0.987552,54717.56,2633.4624
90.7184,533.4,4.93776,2633.80005,1.054608,117964.622,2775.0464
90.7184,646.7856,4.14528,2681.106258,1.063752,294509.22,2973.264
108.86208,534.0096,9.23544,4931.811497,1.423416,54717.56,6824.3488
108.86208,537.3624,8.90016,4782.609279,1.511808,117481.82,6824.3488
108.86208,690.0672,7.34568,5069.010647,1.426464,294509.22,6.8243488
3.9008912,55.4736,1.28016,71.0150532,0.7525512,9173.238,54.934592
3.9008912,77.724,0.82296,63.9637155,1.05156,50372.342,56.6336
3.9008912,44.196,1.3716,60.6192075,0.9906,99940.014,56.6336
3.6967748,60.3504,2.4384,147.158352,1.58496,9173.238,233.047264
3.6967748,85.344,2.37744,202.900152,1.73736,50372.342,235.02944
0.0104,,,0.984957606,0.316992,212.271946,0.31006896
0.0184,7.1000112,0.340000133,2.414003712,0.2700528,737.07772,0.670003805
24,9.38784,0.826008,7.754427604,0.353568,3300.75634,2.666989491
24,9.69998568,0.750000024,7.25499687,0.378000006,9210.25282,2.738995489
24,11.59999915,0.790000147,9.147996016,0.396999988,15710.37708,3.627994034
24,12.7999998,0.840000149,10.69199538,0.373000006,26599.17152,3.988993563
24,15.2000011,0.750000024,11.40499506,0.353999993,31209.93062,4.034993355
24,13.20000103,0.829999966,10.98099525,0.373999994,37589.35438,4.108993365
24,11.39999854,1.089999852,12.43299463,0.355000011,43899.57652,4.413992768
24,17.70000118,0.870000089,15.39899342,0.283,50899.86756,4.354992846
24,16.89999871,0.940000152,15.94899311,0.293,57690.01098,4.669992498
24,17.39999873,0.740000146,12.92399441,0.35999989,65899.25432,4.654992352
24,17.00000664,0.940000152,15.92999287,0.316999986,73400.38806,5.049992627
24,19.89999881,0.89000015,17.7879923,0.289,82609.03154,5.134991449
24,17.99999448,1.070000095,19.26999136,0.302000001,90200.28832,5.822990297
